player_external_id,name,position,team,season,scope,rec,rec_yd,rec_td,rush_yd,rush_td,pass_yd,pass_td,pass_int,floor_points,ceiling_points
f0067,Filler K0067,K,CHI,2026,season,,,,1416.1,,,,,85.0,226.6
f0068,Filler DST0068,DST,HOU,2026,season,,,,1388.9,,,,,83.3,222.2
f0069,Filler RB0069,RB,JAX,2026,season,51.0,340.0,,1020.0,9.1,,,,144.9,386.5
f0070,Filler WR0070,WR,MIA,2026,season,85.0,1020.0,7.82,,,,,,140.4,374.3
f0071,Filler WR0071,WR,NO,2026,season,85.0,1020.0,7.14,,,,,,137.9,367.7
f0072,Filler TE0072,TE,TEN,2026,season,85.0,1020.0,0.0,,,,,,96.4,257.0
f0073,Filler QB0073,QB,CHI,2026,season,,,,,,4080.0,42.5,0.0,199.9,533.1
f0074,Filler RB0074,RB,HOU,2026,season,51.0,340.0,,1020.0,8.13,,,,141.5,377.3
f0075,Filler RB0075,RB,JAX,2026,season,51.0,340.0,,1020.0,7.17,,,,138.0,368.0
f0076,Filler WR0076,WR,MIA,2026,season,85.0,1020.0,6.49,,,,,,135.6,361.5
f0077,Filler WR0077,WR,NO,2026,season,85.0,1020.0,5.81,,,,,,133.1,355.0
f0078,Filler TE0078,TE,TEN,2026,season,85.0,1020.0,0.0,,,,,,93.1,248.3
f0079,Filler K0079,K,CHI,2026,season,,,,1377.0,,,,,82.6,220.3
f0080,Filler DST0080,DST,HOU,2026,season,,,,1309.0,,,,,78.5,209.4
f0081,Filler RB0081,RB,JAX,2026,season,51.0,340.0,,1020.0,6.21,,,,134.5,358.8
f0082,Filler WR0082,WR,MIA,2026,season,85.0,1020.0,5.13,,,,,,130.7,348.4
f0083,Filler WR0083,WR,NO,2026,season,85.0,1020.0,4.45,,,,,,128.2,341.9
f0084,Filler TE0084,TE,TEN,2026,season,85.0,1020.0,0.0,,,,,,89.9,239.6
f0085,Filler QB0085,QB,CHI,2026,season,,,,,,4080.0,39.41,0.0,192.5,513.3
f0086,Filler RB0086,RB,HOU,2026,season,51.0,340.0,,1020.0,5.24,,,,131.1,349.5
f0087,Filler RB0087,RB,JAX,2026,season,51.0,340.0,,1020.0,4.28,,,,127.6,340.3
f0088,Filler WR0088,WR,MIA,2026,season,85.0,1020.0,3.77,,,,,,125.8,335.4
f0089,Filler WR0089,WR,NO,2026,season,85.0,1020.0,3.11,,,,,,123.4,329.1
f0090,Filler TE0090,TE,TEN,2026,season,85.0,1020.0,0.0,,,,,,86.5,230.7
f0091,Filler K0091,K,CHI,2026,season,,,,1337.9,,,,,80.3,214.1
f0092,Filler DST0092,DST,HOU,2026,season,,,,1229.1,,,,,73.7,196.7
f0093,Filler RB0093,RB,JAX,2026,season,51.0,340.0,,1020.0,3.31,,,,124.1,331.0
f0094,Filler WR0094,WR,MIA,2026,season,85.0,1020.0,2.43,,,,,,121.0,322.6
f0095,Filler WR0095,WR,NO,2026,season,85.0,1020.0,1.75,,,,,,118.5,316.1
f0096,Filler TE0096,TE,TEN,2026,season,85.0,1020.0,0.0,,,,,,83.2,222.0
f0097,Filler QB0097,QB,CHI,2026,season,,,,,,4080.0,36.24,0.0,184.9,493.1
f0098,Filler RB0098,RB,HOU,2026,season,51.0,340.0,,1020.0,2.35,,,,120.7,321.8
f0099,Filler RB0099,RB,JAX,2026,season,51.0,340.0,,1020.0,1.39,,,,117.2,312.5
f0100,Filler WR0100,WR,MIA,2026,season,85.0,1020.0,1.07,,,,,,116.1,309.5
f0101,Filler WR0101,WR,NO,2026,season,85.0,1020.0,0.39,,,,,,113.6,303.0
f0102,Filler TE0102,TE,TEN,2026,season,85.0,1020.0,0.0,,,,,,80.0,213.2
f0103,Filler K0103,K,CHI,2026,season,,,,1297.1,,,,,77.8,207.5
f0104,Filler DST0104,DST,HOU,2026,season,,,,1150.9,,,,,69.1,184.1
f0105,Filler RB0105,RB,JAX,2026,season,51.0,340.0,,1020.0,0.43,,,,113.7,303.3
f0106,Filler WR0106,WR,MIA,2026,season,85.0,1020.0,0.0,,,,,,111.2,296.5
f0107,Filler WR0107,WR,NO,2026,season,85.0,1020.0,0.0,,,,,,108.8,290.2
f0108,Filler TE0108,TE,TEN,2026,season,85.0,1020.0,0.0,,,,,,76.7,204.5
f0109,Filler QB0109,QB,CHI,2026,season,,,,,,4080.0,33.15,0.0,177.5,473.3
f0110,Filler RB0110,RB,HOU,2026,season,51.0,340.0,,1020.0,0.0,,,,110.3,294.0
f0111,Filler RB0111,RB,JAX,2026,season,51.0,340.0,,1020.0,0.0,,,,106.8,284.8
f0112,Filler WR0112,WR,MIA,2026,season,85.0,1020.0,0.0,,,,,,106.4,283.7
f0113,Filler WR0113,WR,NO,2026,season,85.0,1020.0,0.0,,,,,,103.9,277.2
f0114,Filler TE0114,TE,TEN,2026,season,85.0,1020.0,0.0,,,,,,73.3,195.6
f0115,Filler K0115,K,CHI,2026,season,,,,1258.0,,,,,75.5,201.3
f0116,Filler DST0116,DST,HOU,2026,season,,,,1071.0,,,,,64.3,171.4
f0117,Filler RB0117,RB,JAX,2026,season,51.0,340.0,,1020.0,0.0,,,,103.3,275.5
f0118,Filler WR0118,WR,MIA,2026,season,85.0,1020.0,0.0,,,,,,101.5,270.6
f0119,Filler WR0119,WR,NO,2026,season,85.0,1020.0,0.0,,,,,,99.0,264.1
f0120,Filler TE0120,TE,TEN,2026,season,85.0,1020.0,0.0,,,,,,70.1,186.9
f0121,Filler QB0121,QB,CHI,2026,season,,,,,,4080.0,30.06,0.0,170.0,453.4
f0122,Filler RB0122,RB,HOU,2026,season,51.0,340.0,,1020.0,0.0,,,,99.9,266.3
f0123,Filler RB0123,RB,JAX,2026,season,51.0,340.0,,1020.0,0.0,,,,96.4,257.0
f0124,Filler WR0124,WR,MIA,2026,season,85.0,1020.0,0.0,,,,,,96.7,257.9
f0125,Filler WR0125,WR,NO,2026,season,85.0,1020.0,0.0,,,,,,94.2,251.3
f0126,Filler TE0126,TE,TEN,2026,season,85.0,1020.0,0.0,,,,,,66.8,178.2
f0127,Filler K0127,K,CHI,2026,season,,,,1218.9,,,,,73.1,195.0
f0128,Filler DST0128,DST,HOU,2026,season,,,,991.1,,,,,59.5,158.6
f0129,Filler RB0129,RB,JAX,2026,season,51.0,340.0,,1020.0,0.0,,,,92.9,247.8
f0130,Filler WR0130,WR,MIA,2026,season,85.0,1020.0,0.0,,,,,,91.8,244.8
f0131,Filler WR0131,WR,NO,2026,season,85.0,1020.0,0.0,,,,,,89.4,238.3
f0132,Filler TE0132,TE,TEN,2026,season,85.0,1020.0,0.0,,,,,,63.5,169.5
fa0001,FreeAgent 0001,RB,CHI,2026,season,51.0,340.0,,1020.0,0.0,,,,89.5,238.5
fa0002,FreeAgent 0002,RB,DEN,2026,season,51.0,340.0,,1020.0,0.0,,,,86.0,229.3
fa0003,FreeAgent 0003,WR,HOU,2026,season,85.0,1020.0,0.0,,,,,,86.9,231.7
fa0004,FreeAgent 0004,WR,IND,2026,season,85.0,1020.0,0.0,,,,,,84.6,225.5
fa0005,FreeAgent 0005,TE,JAX,2026,season,85.0,1020.0,0.0,,,,,,60.2,160.5
fa0006,FreeAgent 0006,K,LV,2026,season,,,,1178.1,,,,,70.7,188.5
fa0007,FreeAgent 0007,DST,MIA,2026,season,,,,912.9,,,,,54.8,146.1
fa0008,FreeAgent 0008,RB,NE,2026,season,51.0,340.0,,1020.0,0.0,,,,82.5,220.0
fa0009,FreeAgent 0009,WR,NO,2026,season,85.0,1020.0,0.0,,,,,,82.1,219.0
fa0010,FreeAgent 0010,WR,PIT,2026,season,85.0,1020.0,0.0,,,,,,79.7,212.4
fa0011,FreeAgent 0011,TE,TEN,2026,season,85.0,1020.0,0.0,,,,,,56.9,151.8
fa0012,FreeAgent 0012,QB,ATL,2026,season,,,,,,4080.0,26.91,0.0,162.5,433.3
fa0013,FreeAgent 0013,RB,CHI,2026,season,51.0,340.0,,1020.0,0.0,,,,78.9,210.5
fa0014,FreeAgent 0014,RB,DEN,2026,season,51.0,340.0,,1020.0,0.0,,,,75.5,201.3
fa0015,FreeAgent 0015,WR,HOU,2026,season,85.0,1020.0,0.0,,,,,,77.2,205.9
fa0016,FreeAgent 0016,WR,IND,2026,season,85.0,1020.0,0.0,,,,,,74.8,199.4
fa0017,FreeAgent 0017,TE,JAX,2026,season,85.0,1020.0,0.0,,,,,,53.7,143.1
fa0018,FreeAgent 0018,K,LV,2026,season,,,,1139.0,,,,,68.3,182.2
fa0019,FreeAgent 0019,DST,MIA,2026,season,,,,833.0,,,,,50.0,133.3
fa0020,FreeAgent 0020,RB,NE,2026,season,51.0,340.0,,1020.0,0.0,,,,72.0,192.0
fa0021,FreeAgent 0021,WR,NO,2026,season,85.0,1020.0,0.0,,,,,,72.4,193.1
fa0022,FreeAgent 0022,WR,PIT,2026,season,85.0,1020.0,0.0,,,,,,70.0,186.6
fa0023,FreeAgent 0023,TE,TEN,2026,season,85.0,1020.0,0.0,,,,,,50.4,134.4
fa0024,FreeAgent 0024,QB,ATL,2026,season,,,,,,4080.0,23.8,0.0,155.0,413.4
fa0025,FreeAgent 0025,RB,CHI,2026,season,51.0,340.0,,1020.0,0.0,,,,68.5,182.8
fa0026,FreeAgent 0026,RB,DEN,2026,season,51.0,340.0,,1020.0,0.0,,,,65.1,173.5
fa0027,FreeAgent 0027,WR,HOU,2026,season,85.0,1020.0,0.0,,,,,,67.5,180.1
fa0028,FreeAgent 0028,WR,IND,2026,season,85.0,1020.0,0.0,,,,,,65.1,173.5
fa0029,FreeAgent 0029,TE,JAX,2026,season,85.0,1020.0,0.0,,,,,,47.0,125.4
fa0030,FreeAgent 0030,K,LV,2026,season,,,,1099.9,,,,,66.0,176.0
fa0031,FreeAgent 0031,DST,MIA,2026,season,,,,753.1,,,,,45.2,120.5
fa0032,FreeAgent 0032,RB,NE,2026,season,51.0,340.0,,1020.0,0.0,,,,61.6,164.3
fa0033,FreeAgent 0033,WR,NO,2026,season,85.0,1020.0,0.0,,,,,,62.6,167.0
fa0034,FreeAgent 0034,WR,PIT,2026,season,85.0,1020.0,0.0,,,,,,60.2,160.5
fa0035,FreeAgent 0035,TE,TEN,2026,season,85.0,1020.0,0.0,,,,,,43.8,116.7
fa0036,FreeAgent 0036,QB,ATL,2026,season,,,,,,4080.0,20.71,0.0,147.6,393.6
fa0037,FreeAgent 0037,RB,CHI,2026,season,51.0,340.0,,1020.0,0.0,,,,58.1,155.0
fa0038,FreeAgent 0038,RB,DEN,2026,season,51.0,340.0,,1020.0,0.0,,,,54.7,145.8
fa0039,FreeAgent 0039,WR,HOU,2026,season,85.0,1020.0,0.0,,,,,,57.8,154.2
fa0040,FreeAgent 0040,WR,IND,2026,season,85.0,1020.0,0.0,,,,,,55.4,147.7
fa0041,FreeAgent 0041,TE,JAX,2026,season,85.0,1020.0,0.0,,,,,,40.5,108.0
fa0042,FreeAgent 0042,K,LV,2026,season,,,,1059.1,,,,,63.5,169.5
fa0043,FreeAgent 0043,DST,MIA,2026,season,,,,674.9,,,,,40.5,108.0
fa0044,FreeAgent 0044,RB,NE,2026,season,51.0,340.0,,1020.0,0.0,,,,51.2,136.5
fa0045,FreeAgent 0045,WR,NO,2026,season,85.0,1020.0,0.0,,,,,,52.9,141.2
fa0046,FreeAgent 0046,WR,PIT,2026,season,85.0,1020.0,0.0,,,,,,50.5,134.6
fa0047,FreeAgent 0047,TE,TEN,2026,season,85.0,1020.0,0.0,,,,,,37.2,99.3
fa0048,FreeAgent 0048,QB,ATL,2026,season,,,,,,4080.0,17.56,0.0,140.0,373.5
fa0049,FreeAgent 0049,RB,CHI,2026,season,51.0,340.0,,1020.0,0.0,,,,47.7,127.3
fa0050,FreeAgent 0050,RB,DEN,2026,season,51.0,340.0,,1020.0,0.0,,,,44.3,118.0
fa0051,FreeAgent 0051,WR,HOU,2026,season,85.0,1020.0,0.0,,,,,,48.0,128.1
fa0052,FreeAgent 0052,WR,IND,2026,season,85.0,1020.0,0.0,,,,,,45.7,121.9
fa0053,FreeAgent 0053,TE,JAX,2026,season,85.0,1020.0,0.0,,,,,,33.9,90.3
fa0054,FreeAgent 0054,K,LV,2026,season,,,,1020.0,,,,,61.2,163.2
fa0055,FreeAgent 0055,DST,MIA,2026,season,,,,595.0,,,,,35.7,95.2
fa0056,FreeAgent 0056,RB,NE,2026,season,51.0,340.0,,1020.0,0.0,,,,40.8,108.8
fa0057,FreeAgent 0057,WR,NO,2026,season,85.0,1020.0,0.0,,,,,,43.2,115.3
fa0058,FreeAgent 0058,WR,PIT,2026,season,85.0,1020.0,0.0,,,,,,40.8,108.8
fa0059,FreeAgent 0059,TE,TEN,2026,season,85.0,1020.0,0.0,,,,,,30.6,81.6
fa0060,FreeAgent 0060,QB,ATL,2026,season,,,,,,4080.0,14.45,0.0,132.6,353.6
