player_external_id,name,position,team,season,week,scope,rec,rec_yd,rec_td,rush_yd,rush_td,pass_yd,pass_td,pass_int,floor_points,ceiling_points
f0005,Filler WR0005,WR,NO,2026,1,week,5.0,60.0,1.293,,,,,,11.26,30.02
f0006,Filler TE0006,TE,TEN,2026,1,week,5.0,60.0,0.333,,,,,,7.8,20.8
f0007,Filler K0007,K,CHI,2026,1,week,,,,95.0,,,,,5.7,15.2
f0008,Filler DST0008,DST,HOU,2026,1,week,,,,105.0,,,,,6.3,16.8
f0009,Filler RB0009,RB,JAX,2026,1,week,3.0,20.0,,60.0,1.387,,,,11.59,30.91
f0010,Filler WR0010,WR,MIA,2026,1,week,5.0,60.0,1.253,,,,,,11.11,29.63
f0011,Filler WR0011,WR,NO,2026,1,week,5.0,60.0,1.215,,,,,,10.97,29.26
f0012,Filler TE0012,TE,TEN,2026,1,week,5.0,60.0,0.28,,,,,,7.61,20.29
f0013,Filler QB0013,QB,CHI,2026,1,week,,,,,,240.0,3.417,0.0,13.96,37.23
f0014,Filler RB0014,RB,HOU,2026,1,week,3.0,20.0,,60.0,1.33,,,,11.39,30.37
f0015,Filler RB0015,RB,JAX,2026,1,week,3.0,20.0,,60.0,1.273,,,,11.18,29.82
f0016,Filler WR0016,WR,MIA,2026,1,week,5.0,60.0,1.175,,,,,,10.83,28.88
f0017,Filler WR0017,WR,NO,2026,1,week,5.0,60.0,1.135,,,,,,10.69,28.5
f0018,Filler TE0018,TE,TEN,2026,1,week,5.0,60.0,0.225,,,,,,7.41,19.76
f0019,Filler K0019,K,CHI,2026,1,week,,,,92.7,,,,,5.56,14.83
f0020,Filler DST0020,DST,HOU,2026,1,week,,,,100.3,,,,,6.02,16.05
f0021,Filler RB0021,RB,JAX,2026,1,week,3.0,20.0,,60.0,1.217,,,,10.98,29.28
f0022,Filler WR0022,WR,MIA,2026,1,week,5.0,60.0,1.095,,,,,,10.54,28.11
f0023,Filler WR0023,WR,NO,2026,1,week,5.0,60.0,1.055,,,,,,10.4,27.73
f0024,Filler TE0024,TE,TEN,2026,1,week,5.0,60.0,0.172,,,,,,7.22,19.25
f0025,Filler QB0025,QB,CHI,2026,1,week,,,,,,240.0,3.233,0.0,13.52,36.05
f0026,Filler RB0026,RB,HOU,2026,1,week,3.0,20.0,,60.0,1.16,,,,10.78,28.74
f0027,Filler RB0027,RB,JAX,2026,1,week,3.0,20.0,,60.0,1.103,,,,10.57,28.19
f0028,Filler WR0028,WR,MIA,2026,1,week,5.0,60.0,1.017,,,,,,10.26,27.36
f0029,Filler WR0029,WR,NO,2026,1,week,5.0,60.0,0.977,,,,,,10.12,26.98
f0030,Filler TE0030,TE,TEN,2026,1,week,5.0,60.0,0.118,,,,,,7.03,18.74
f0031,Filler K0031,K,CHI,2026,1,week,,,,90.3,,,,,5.42,14.45
f0032,Filler DST0032,DST,HOU,2026,1,week,,,,95.7,,,,,5.74,15.31
f0033,Filler RB0033,RB,JAX,2026,1,week,3.0,20.0,,60.0,1.047,,,,10.37,27.65
f0034,Filler WR0034,WR,MIA,2026,1,week,5.0,60.0,0.937,,,,,,9.97,26.59
f0035,Filler WR0035,WR,NO,2026,1,week,5.0,60.0,0.897,,,,,,9.83,26.21
f0036,Filler TE0036,TE,TEN,2026,1,week,5.0,60.0,0.065,,,,,,6.83,18.22
f0037,Filler QB0037,QB,CHI,2026,1,week,,,,,,240.0,3.05,0.0,13.08,34.88
f0038,Filler RB0038,RB,HOU,2026,1,week,3.0,20.0,,60.0,0.99,,,,10.16,27.1
f0039,Filler RB0039,RB,JAX,2026,1,week,3.0,20.0,,60.0,0.933,,,,9.96,26.56
f0040,Filler WR0040,WR,MIA,2026,1,week,5.0,60.0,0.857,,,,,,9.68,25.82
f0041,Filler WR0041,WR,NO,2026,1,week,5.0,60.0,0.817,,,,,,9.54,25.44
f0042,Filler TE0042,TE,TEN,2026,1,week,5.0,60.0,0.01,,,,,,6.64,17.7
f0043,Filler K0043,K,CHI,2026,1,week,,,,88.0,,,,,5.28,14.08
f0044,Filler DST0044,DST,HOU,2026,1,week,,,,91.0,,,,,5.46,14.56
f0045,Filler RB0045,RB,JAX,2026,1,week,3.0,20.0,,60.0,0.877,,,,9.76,26.02
f0046,Filler WR0046,WR,MIA,2026,1,week,5.0,60.0,0.778,,,,,,9.4,25.07
f0047,Filler WR0047,WR,NO,2026,1,week,5.0,60.0,0.738,,,,,,9.26,24.69
f0048,Filler TE0048,TE,TEN,2026,1,week,5.0,60.0,0.0,,,,,,6.44,17.18
f0049,Filler QB0049,QB,CHI,2026,1,week,,,,,,240.0,2.868,0.0,12.64,33.71
f0050,Filler RB0050,RB,HOU,2026,1,week,3.0,20.0,,60.0,0.818,,,,9.55,25.46
f0051,Filler RB0051,RB,JAX,2026,1,week,3.0,20.0,,60.0,0.762,,,,9.34,24.91
f0052,Filler WR0052,WR,MIA,2026,1,week,5.0,60.0,0.698,,,,,,9.11,24.3
f0053,Filler WR0053,WR,NO,2026,1,week,5.0,60.0,0.658,,,,,,8.97,23.92
f0054,Filler TE0054,TE,TEN,2026,1,week,5.0,60.0,0.0,,,,,,6.25,16.67
f0055,Filler K0055,K,CHI,2026,1,week,,,,85.7,,,,,5.14,13.71
f0056,Filler DST0056,DST,HOU,2026,1,week,,,,86.3,,,,,5.18,13.81
f0057,Filler RB0057,RB,JAX,2026,1,week,3.0,20.0,,60.0,0.705,,,,9.14,24.37
f0058,Filler WR0058,WR,MIA,2026,1,week,5.0,60.0,0.618,,,,,,8.83,23.54
f0059,Filler WR0059,WR,NO,2026,1,week,5.0,60.0,0.58,,,,,,8.69,23.17
f0060,Filler TE0060,TE,TEN,2026,1,week,5.0,60.0,0.0,,,,,,6.06,16.16
f0061,Filler QB0061,QB,CHI,2026,1,week,,,,,,240.0,2.682,0.0,12.2,32.53
f0062,Filler RB0062,RB,HOU,2026,1,week,3.0,20.0,,60.0,0.648,,,,8.93,23.82
f0063,Filler RB0063,RB,JAX,2026,1,week,3.0,20.0,,60.0,0.592,,,,8.73,23.28
f0064,Filler WR0064,WR,MIA,2026,1,week,5.0,60.0,0.54,,,,,,8.54,22.78
f0065,Filler WR0065,WR,NO,2026,1,week,5.0,60.0,0.5,,,,,,8.4,22.4
f0066,Filler TE0066,TE,TEN,2026,1,week,5.0,60.0,0.0,,,,,,5.86,15.63
f0067,Filler K0067,K,CHI,2026,1,week,,,,83.3,,,,,5.0,13.33
f0068,Filler DST0068,DST,HOU,2026,1,week,,,,81.7,,,,,4.9,13.07
f0069,Filler RB0069,RB,JAX,2026,1,week,3.0,20.0,,60.0,0.535,,,,8.53,22.74
f0070,Filler WR0070,WR,MIA,2026,1,week,5.0,60.0,0.46,,,,,,8.26,22.02
f0071,Filler WR0071,WR,NO,2026,1,week,5.0,60.0,0.42,,,,,,8.11,21.63
f0072,Filler TE0072,TE,TEN,2026,1,week,5.0,60.0,0.0,,,,,,5.67,15.12
f0073,Filler QB0073,QB,CHI,2026,1,week,,,,,,240.0,2.5,0.0,11.76,31.36
f0074,Filler RB0074,RB,HOU,2026,1,week,3.0,20.0,,60.0,0.478,,,,8.32,22.19
f0075,Filler RB0075,RB,JAX,2026,1,week,3.0,20.0,,60.0,0.422,,,,8.12,21.65
f0076,Filler WR0076,WR,MIA,2026,1,week,5.0,60.0,0.382,,,,,,7.97,21.26
f0077,Filler WR0077,WR,NO,2026,1,week,5.0,60.0,0.342,,,,,,7.83,20.88
f0078,Filler TE0078,TE,TEN,2026,1,week,5.0,60.0,0.0,,,,,,5.48,14.61
f0079,Filler K0079,K,CHI,2026,1,week,,,,81.0,,,,,4.86,12.96
f0080,Filler DST0080,DST,HOU,2026,1,week,,,,77.0,,,,,4.62,12.32
f0081,Filler RB0081,RB,JAX,2026,1,week,3.0,20.0,,60.0,0.365,,,,7.91,21.1
f0082,Filler WR0082,WR,MIA,2026,1,week,5.0,60.0,0.302,,,,,,7.69,20.5
f0083,Filler WR0083,WR,NO,2026,1,week,5.0,60.0,0.262,,,,,,7.54,20.11
f0084,Filler TE0084,TE,TEN,2026,1,week,5.0,60.0,0.0,,,,,,5.29,14.1
f0085,Filler QB0085,QB,CHI,2026,1,week,,,,,,240.0,2.318,0.0,11.32,30.19
f0086,Filler RB0086,RB,HOU,2026,1,week,3.0,20.0,,60.0,0.308,,,,7.71,20.56
f0087,Filler RB0087,RB,JAX,2026,1,week,3.0,20.0,,60.0,0.252,,,,7.51,20.02
f0088,Filler WR0088,WR,MIA,2026,1,week,5.0,60.0,0.222,,,,,,7.4,19.73
f0089,Filler WR0089,WR,NO,2026,1,week,5.0,60.0,0.183,,,,,,7.26,19.36
f0090,Filler TE0090,TE,TEN,2026,1,week,5.0,60.0,0.0,,,,,,5.09,13.57
f0091,Filler K0091,K,CHI,2026,1,week,,,,78.7,,,,,4.72,12.59
f0092,Filler DST0092,DST,HOU,2026,1,week,,,,72.3,,,,,4.34,11.57
f0093,Filler RB0093,RB,JAX,2026,1,week,3.0,20.0,,60.0,0.195,,,,7.3,19.47
f0094,Filler WR0094,WR,MIA,2026,1,week,5.0,60.0,0.143,,,,,,7.12,18.98
f0095,Filler WR0095,WR,NO,2026,1,week,5.0,60.0,0.103,,,,,,6.97,18.59
f0096,Filler TE0096,TE,TEN,2026,1,week,5.0,60.0,0.0,,,,,,4.9,13.06
f0097,Filler QB0097,QB,CHI,2026,1,week,,,,,,240.0,2.132,0.0,10.88,29.01
f0098,Filler RB0098,RB,HOU,2026,1,week,3.0,20.0,,60.0,0.138,,,,7.1,18.93
f0099,Filler RB0099,RB,JAX,2026,1,week,3.0,20.0,,60.0,0.082,,,,6.89,18.38
f0100,Filler WR0100,WR,MIA,2026,1,week,5.0,60.0,0.063,,,,,,6.83,18.21
f0101,Filler WR0101,WR,NO,2026,1,week,5.0,60.0,0.023,,,,,,6.68,17.82
f0102,Filler TE0102,TE,TEN,2026,1,week,5.0,60.0,0.0,,,,,,4.7,12.54
f0103,Filler K0103,K,CHI,2026,1,week,,,,76.3,,,,,4.58,12.21
f0104,Filler DST0104,DST,HOU,2026,1,week,,,,67.7,,,,,4.06,10.83
f0105,Filler RB0105,RB,JAX,2026,1,week,3.0,20.0,,60.0,0.025,,,,6.69,17.84
f0106,Filler WR0106,WR,MIA,2026,1,week,5.0,60.0,0.0,,,,,,6.54,17.44
f0107,Filler WR0107,WR,NO,2026,1,week,5.0,60.0,0.0,,,,,,6.4,17.07
f0108,Filler TE0108,TE,TEN,2026,1,week,5.0,60.0,0.0,,,,,,4.51,12.03
f0109,Filler QB0109,QB,CHI,2026,1,week,,,,,,240.0,1.95,0.0,10.44,27.84
f0110,Filler RB0110,RB,HOU,2026,1,week,3.0,20.0,,60.0,0.0,,,,6.49,17.3
f0111,Filler RB0111,RB,JAX,2026,1,week,3.0,20.0,,60.0,0.0,,,,6.28,16.75
f0112,Filler WR0112,WR,MIA,2026,1,week,5.0,60.0,0.0,,,,,,6.26,16.69
f0113,Filler WR0113,WR,NO,2026,1,week,5.0,60.0,0.0,,,,,,6.11,16.3
f0114,Filler TE0114,TE,TEN,2026,1,week,5.0,60.0,0.0,,,,,,4.31,11.5
f0115,Filler K0115,K,CHI,2026,1,week,,,,74.0,,,,,4.44,11.84
f0116,Filler DST0116,DST,HOU,2026,1,week,,,,63.0,,,,,3.78,10.08
f0117,Filler RB0117,RB,JAX,2026,1,week,3.0,20.0,,60.0,0.0,,,,6.08,16.21
f0118,Filler WR0118,WR,MIA,2026,1,week,5.0,60.0,0.0,,,,,,5.97,15.92
f0119,Filler WR0119,WR,NO,2026,1,week,5.0,60.0,0.0,,,,,,5.83,15.54
f0120,Filler TE0120,TE,TEN,2026,1,week,5.0,60.0,0.0,,,,,,4.12,10.99
f0121,Filler QB0121,QB,CHI,2026,1,week,,,,,,240.0,1.768,0.0,10.0,26.67
f0122,Filler RB0122,RB,HOU,2026,1,week,3.0,20.0,,60.0,0.0,,,,5.87,15.66
f0123,Filler RB0123,RB,JAX,2026,1,week,3.0,20.0,,60.0,0.0,,,,5.67,15.12
f0124,Filler WR0124,WR,MIA,2026,1,week,5.0,60.0,0.0,,,,,,5.69,15.17
f0125,Filler WR0125,WR,NO,2026,1,week,5.0,60.0,0.0,,,,,,5.54,14.78
f0126,Filler TE0126,TE,TEN,2026,1,week,5.0,60.0,0.0,,,,,,3.93,10.48
f0127,Filler K0127,K,CHI,2026,1,week,,,,71.7,,,,,4.3,11.47
f0128,Filler DST0128,DST,HOU,2026,1,week,,,,58.3,,,,,3.5,9.33
f0129,Filler RB0129,RB,JAX,2026,1,week,3.0,20.0,,60.0,0.0,,,,5.47,14.58
f0130,Filler WR0130,WR,MIA,2026,1,week,5.0,60.0,0.0,,,,,,5.4,14.4
f0131,Filler WR0131,WR,NO,2026,1,week,5.0,60.0,0.0,,,,,,5.26,14.02
f0132,Filler TE0132,TE,TEN,2026,1,week,5.0,60.0,0.0,,,,,,3.74,9.97
fa0001,FreeAgent 0001,RB,CHI,2026,1,week,3.0,20.0,,60.0,0.0,,,,5.26,14.03
fa0002,FreeAgent 0002,RB,DEN,2026,1,week,3.0,20.0,,60.0,0.0,,,,5.06,13.49
fa0003,FreeAgent 0003,WR,HOU,2026,1,week,5.0,60.0,0.0,,,,,,5.11,13.63
fa0004,FreeAgent 0004,WR,IND,2026,1,week,5.0,60.0,0.0,,,,,,4.97,13.26
fa0005,FreeAgent 0005,TE,JAX,2026,1,week,5.0,60.0,0.0,,,,,,3.54,9.44
fa0006,FreeAgent 0006,K,LV,2026,1,week,,,,69.3,,,,,4.16,11.09
fa0007,FreeAgent 0007,DST,MIA,2026,1,week,,,,53.7,,,,,3.22,8.59
fa0008,FreeAgent 0008,RB,NE,2026,1,week,3.0,20.0,,60.0,0.0,,,,4.85,12.94
fa0009,FreeAgent 0009,WR,NO,2026,1,week,5.0,60.0,0.0,,,,,,4.83,12.88
fa0010,FreeAgent 0010,WR,PIT,2026,1,week,5.0,60.0,0.0,,,,,,4.69,12.5
fa0011,FreeAgent 0011,TE,TEN,2026,1,week,5.0,60.0,0.0,,,,,,3.35,8.93
fa0012,FreeAgent 0012,QB,ATL,2026,1,week,,,,,,240.0,1.583,0.0,9.56,25.49
fa0013,FreeAgent 0013,RB,CHI,2026,1,week,3.0,20.0,,60.0,0.0,,,,4.64,12.38
fa0014,FreeAgent 0014,RB,DEN,2026,1,week,3.0,20.0,,60.0,0.0,,,,4.44,11.84
fa0015,FreeAgent 0015,WR,HOU,2026,1,week,5.0,60.0,0.0,,,,,,4.54,12.11
fa0016,FreeAgent 0016,WR,IND,2026,1,week,5.0,60.0,0.0,,,,,,4.4,11.73
fa0017,FreeAgent 0017,TE,JAX,2026,1,week,5.0,60.0,0.0,,,,,,3.16,8.42
fa0018,FreeAgent 0018,K,LV,2026,1,week,,,,67.0,,,,,4.02,10.72
fa0019,FreeAgent 0019,DST,MIA,2026,1,week,,,,49.0,,,,,2.94,7.84
fa0020,FreeAgent 0020,RB,NE,2026,1,week,3.0,20.0,,60.0,0.0,,,,4.24,11.3
fa0021,FreeAgent 0021,WR,NO,2026,1,week,5.0,60.0,0.0,,,,,,4.26,11.36
fa0022,FreeAgent 0022,WR,PIT,2026,1,week,5.0,60.0,0.0,,,,,,4.12,10.98
fa0023,FreeAgent 0023,TE,TEN,2026,1,week,5.0,60.0,0.0,,,,,,2.96,7.9
fa0024,FreeAgent 0024,QB,ATL,2026,1,week,,,,,,240.0,1.4,0.0,9.12,24.32
fa0025,FreeAgent 0025,RB,CHI,2026,1,week,3.0,20.0,,60.0,0.0,,,,4.03,10.75
fa0026,FreeAgent 0026,RB,DEN,2026,1,week,3.0,20.0,,60.0,0.0,,,,3.83,10.21
fa0027,FreeAgent 0027,WR,HOU,2026,1,week,5.0,60.0,0.0,,,,,,3.97,10.59
fa0028,FreeAgent 0028,WR,IND,2026,1,week,5.0,60.0,0.0,,,,,,3.83,10.21
fa0029,FreeAgent 0029,TE,JAX,2026,1,week,5.0,60.0,0.0,,,,,,2.77,7.38
fa0030,FreeAgent 0030,K,LV,2026,1,week,,,,64.7,,,,,3.88,10.35
fa0031,FreeAgent 0031,DST,MIA,2026,1,week,,,,44.3,,,,,2.66,7.09
fa0032,FreeAgent 0032,RB,NE,2026,1,week,3.0,20.0,,60.0,0.0,,,,3.62,9.66
fa0033,FreeAgent 0033,WR,NO,2026,1,week,5.0,60.0,0.0,,,,,,3.68,9.82
fa0034,FreeAgent 0034,WR,PIT,2026,1,week,5.0,60.0,0.0,,,,,,3.54,9.44
fa0035,FreeAgent 0035,TE,TEN,2026,1,week,5.0,60.0,0.0,,,,,,2.57,6.86
fa0036,FreeAgent 0036,QB,ATL,2026,1,week,,,,,,240.0,1.218,0.0,8.68,23.15
fa0037,FreeAgent 0037,RB,CHI,2026,1,week,3.0,20.0,,60.0,0.0,,,,3.42,9.12
fa0038,FreeAgent 0038,RB,DEN,2026,1,week,3.0,20.0,,60.0,0.0,,,,3.22,8.58
fa0039,FreeAgent 0039,WR,HOU,2026,1,week,5.0,60.0,0.0,,,,,,3.4,9.07
fa0040,FreeAgent 0040,WR,IND,2026,1,week,5.0,60.0,0.0,,,,,,3.26,8.69
fa0041,FreeAgent 0041,TE,JAX,2026,1,week,5.0,60.0,0.0,,,,,,2.38,6.35
fa0042,FreeAgent 0042,K,LV,2026,1,week,,,,62.3,,,,,3.74,9.97
fa0043,FreeAgent 0043,DST,MIA,2026,1,week,,,,39.7,,,,,2.38,6.35
fa0044,FreeAgent 0044,RB,NE,2026,1,week,3.0,20.0,,60.0,0.0,,,,3.01,8.03
fa0045,FreeAgent 0045,WR,NO,2026,1,week,5.0,60.0,0.0,,,,,,3.11,8.3
fa0046,FreeAgent 0046,WR,PIT,2026,1,week,5.0,60.0,0.0,,,,,,2.97,7.92
fa0047,FreeAgent 0047,TE,TEN,2026,1,week,5.0,60.0,0.0,,,,,,2.19,5.84
fa0048,FreeAgent 0048,QB,ATL,2026,1,week,,,,,,240.0,1.033,0.0,8.24,21.97
fa0049,FreeAgent 0049,RB,CHI,2026,1,week,3.0,20.0,,60.0,0.0,,,,2.81,7.49
fa0050,FreeAgent 0050,RB,DEN,2026,1,week,3.0,20.0,,60.0,0.0,,,,2.6,6.94
fa0051,FreeAgent 0051,WR,HOU,2026,1,week,5.0,60.0,0.0,,,,,,2.83,7.54
fa0052,FreeAgent 0052,WR,IND,2026,1,week,5.0,60.0,0.0,,,,,,2.69,7.17
fa0053,FreeAgent 0053,TE,JAX,2026,1,week,5.0,60.0,0.0,,,,,,1.99,5.31
fa0054,FreeAgent 0054,K,LV,2026,1,week,,,,60.0,,,,,3.6,9.6
fa0055,FreeAgent 0055,DST,MIA,2026,1,week,,,,35.0,,,,,2.1,5.6
fa0056,FreeAgent 0056,RB,NE,2026,1,week,3.0,20.0,,60.0,0.0,,,,2.4,6.4
fa0057,FreeAgent 0057,WR,NO,2026,1,week,5.0,60.0,0.0,,,,,,2.54,6.78
fa0058,FreeAgent 0058,WR,PIT,2026,1,week,5.0,60.0,0.0,,,,,,2.4,6.4
fa0059,FreeAgent 0059,TE,TEN,2026,1,week,5.0,60.0,0.0,,,,,,1.8,4.8
fa0060,FreeAgent 0060,QB,ATL,2026,1,week,,,,,,240.0,0.85,0.0,7.8,20.8
